created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Jan 31 14:21:26 +0000 2023,1620427037025636358,Jadi pas di GDA ternyata Enhypen sama Treasure satu waiting room 🥹 walaupun gaada selca yang penting udah tau kalau mereka pernah interaksi kayak gini 😭🙏 jiwa teumengene ku teriaaakk -hi https://t.co/U0R4XB1e1n,86,62,82,1078,in,1210342758029807616,1620427037025636358,starfess,https://twitter.com/starfess/status/1620427037025636358,
Tue Jan 31 12:56:08 +0000 2023,1620405572226146305,teume! (treasure ver) kalian manggil bias kalian apa nih? https://t.co/4Fp8bRIZwJ,473,1055,122,2909,in,1271439514460753920,1620405572226146305,treasuremenfess,https://twitter.com/treasuremenfess/status/1620405572226146305,
Tue Jan 31 12:33:30 +0000 2023,1620399875191078912,[yg_treasure_tiktok] 230131  🌸 jaehyuk guide 🌸 Kyocera Dome stage tour ✨  🖇️ https://t.co/GZUMjaI46n  #TREASURE #트레저 #トレジャー  @treasuremembers https://t.co/XNtuos2lsF,82,0,825,4730,in,1469253385312370690,1620399875191078912,trsrupdates,https://twitter.com/trsrupdates/status/1620399875191078912,treasuremembers
Tue Jan 31 04:20:39 +0000 2023,1620275847180730370,Teume! Jadi Mashiho balik korea bareng treasure??😭🫣🤡 https://t.co/opHhbmtljy,392,515,429,5962,in,1271439514460753920,1620275847180730370,treasuremenfess,https://twitter.com/treasuremenfess/status/1620275847180730370,
Tue Jan 31 03:16:40 +0000 2023,1620259744262033411,"-hi calling all teume, coba dong rekomen 1 lagu b-side treasure yang harus banget didenger????? https://t.co/42S9l62shR",144,976,134,1727,in,1210342758029807616,1620259744262033411,starfess,https://twitter.com/starfess/status/1620259744262033411,
Mon Jan 30 00:27:40 +0000 2023,1619854824975253508,Teume! Ini termasuk rekor ga sih 😭 Penonton dgn jumlah terbesar untuk grup korea di first tour nya 🥺 Treasure! bangga bgt sama kalian surr!!  cr. tochu_sports https://t.co/dqwWM2MfeZ,11,25,157,1138,in,1271439514460753920,1619854824975253508,treasuremenfess,https://twitter.com/treasuremenfess/status/1619854824975253508,
Sun Jan 29 11:52:36 +0000 2023,1619664808273649667,"-hey bangga bgt sama Treasure,grup umur 2 thn bisa konser di Kyocera dome Osaka 2 hari ,mana ada kereta nya juga 🥰 https://t.co/mXnA4G6SmY",68,120,835,4333,in,1210342758029807616,1619664808273649667,starfess,https://twitter.com/starfess/status/1619664808273649667,
Sun Jan 29 10:52:25 +0000 2023,1619649660804816898,@treasuremenfess Walau 10 nama yg terpampang tp 2 diamond itu seakan ngebuktiin kalo treasure akan selalu 12 :),0,0,41,1414,in,1602522769409060864,1619646325011943424,corioussscat,https://twitter.com/corioussscat/status/1619649660804816898,treasuremenfess
Sun Jan 29 10:29:04 +0000 2023,1619643784677199872,au/wp treasure yang sudah dijadikan novel  — a thread https://t.co/zdXknO2tXJ,40,9,602,2346,in,1458102258294525961,1619643784677199872,sweetcandyss_,https://twitter.com/sweetcandyss_/status/1619643784677199872,
Sun Jan 29 08:55:05 +0000 2023,1619620132011266049,Teume! YANG BANGGA SAMA TREASURE ANGKAT TANGANNN!!!! 🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️💕💕💕💕💕💗💗💗💗,79,246,375,2045,tl,1271439514460753920,1619620132011266049,treasuremenfess,https://twitter.com/treasuremenfess/status/1619620132011266049,
Sun Jan 29 08:34:23 +0000 2023,1619614921788100608,"teume! gak kebayang berat yang dipikul hyunsuk sama jihoon seberat apa sebagai leader, 2022 pasti berat banget buat treasure. Semangat sur!! Kita hadapi 2023 bersama ya😭😭😭  https://t.co/cLyf2iI6dD",60,25,385,1676,in,1271439514460753920,1619614921788100608,treasuremenfess,https://twitter.com/treasuremenfess/status/1619614921788100608,
Sun Jan 29 07:13:02 +0000 2023,1619594450606637056,"Kim Junkyu of Treasure sebagai idol pertama kpop dalam sejarah yang kentut di kyocera dome, give applause teume! ☺️🤝  https://t.co/VidepV2w5O",37,36,250,1393,in,1271439514460753920,1619594450606637056,treasuremenfess,https://twitter.com/treasuremenfess/status/1619594450606637056,
Sat Jan 28 14:52:31 +0000 2023,1619347696187506688,Buwis buhay pagkuha ng vid..😅😅  #treasure @treasuremembers https://t.co/RLUjr8mtPi,7,1,267,960,tl,4224190333,1619347696187506688,JerviaMae,https://twitter.com/JerviaMae/status/1619347696187506688,treasuremembers
Sat Jan 28 13:38:38 +0000 2023,1619329102003175433,"[TRANS] 🐯 280123  Aku gak nangis, cuma hampir nangis aja 😤 Tapi aku terharu banget, makasih banyak 💖 Aku sayang Treasure Makers di seluruh dunia 💕  @treasuremembers https://t.co/roGPH6p44x",89,46,371,1753,in,1376469852479574020,1619329102003175433,teuverse_id,https://twitter.com/teuverse_id/status/1619329102003175433,treasuremembers
Sat Jan 28 12:42:08 +0000 2023,1619314884147294208,230128 HELLO KYOCERA   #트레저 #TREASURE #トレジャー  #최현석 #CHOIHYUNSUK #ヒョンソク https://t.co/E4BQmvLbaR,57,1,1094,2941,in,873912356127952897,1619314884147294208,7chill_babu,https://twitter.com/7chill_babu/status/1619314884147294208,
Sat Jan 28 11:21:12 +0000 2023,1619294516854521856,Teume! Treasure Hello concert in Osaka kali ini beneran real ✨ special ✨ pake banget 😭😭♥️  Cr @/mashiwoo__ https://t.co/QKCnAPyfdf,52,30,185,1265,in,1271439514460753920,1619294516854521856,treasuremenfess,https://twitter.com/treasuremenfess/status/1619294516854521856,
Sat Jan 28 10:00:53 +0000 2023,1619274306307112964,[yg_treasure_tiktok] 230128  ((🦔🐯🤖🐰🦁🐺))  🖇️ https://t.co/4wn7BXdurN  #TREASURE #트레저 #トレジャー  @treasuremembers https://t.co/Vxjq7owPlp,21,0,295,904,in,1469253385312370690,1619274306307112964,trsrupdates,https://twitter.com/trsrupdates/status/1619274306307112964,treasuremembers
